Name,Version,Source
Microsoft Visual Studio 10.0,Unknown,File System
Application Verifier,Unknown,File System
Debugging Tools for Windows (x64),Unknown,File System
Microsoft Office,Unknown,File System
InstallShield Installation Information,Unknown,File System
desktop.ini,Unknown,File System
Microsoft Help Viewer,Unknown,File System
Microsoft VS Code,Unknown,File System
Common,Unknown,File System
RUXIM,Unknown,File System
WinZip,Unknown,File System
Adobe,Unknown,File System
Lenovo,Unknown,File System
Microsoft SQL Server,Unknown,File System
Kryterion Sentinel,Unknown,File System
Windows Portable Devices,Unknown,File System
MySQL,Unknown,File System
Windows Security,Unknown,File System
Microsoft.NET,Unknown,File System
The KMPlayer,Unknown,File System
IIS Express,Unknown,File System
Uninstall Information,Unknown,File System
Windows Kits,Unknown,File System
HPPrintScanDoctor,Unknown,File System
Chromium,Unknown,File System
Mozilla Firefox,Unknown,File System
Windows Defender,Unknown,File System
Digital Communications,Unknown,File System
McAfee,Unknown,File System
Palo Alto Networks,Unknown,File System
Windows Multimedia Platform,Unknown,File System
RStudio,Unknown,File System
Microsoft,Unknown,File System
WinRAR,Unknown,File System
IIS,Unknown,File System
Windows Sidebar,Unknown,File System
nodejs,Unknown,File System
Apache Directory Studio,Unknown,File System
Mozilla Maintenance Service,Unknown,File System
Respondus,Unknown,File System
Microsoft Analysis Services,Unknown,File System
